gene_name,layer,source
AQP4,Layer1,Maynard et al.
HPCAL1,Layer2/3,Maynard et al.
TRABD2A,Layer5,Maynard et al.
KRT17,Layer6,Maynard et al.
MOBP,,Maynard et al.
PCP4,,Maynard et al.
SNAP25,,Maynard et al.